username,age,gender,type_of_consulting,consulting_content,sentiment,the_consultant
darlenehouse,63,Female,Technology,Software development tips,0.26,Human
xgray,32,Other,Business,Starting a small business,0.46,AI
randyfisher,62,Other,Business,Leadership and management,0.76,Human
tgallegos,49,Male,Business,Leadership and management,0.77,Human
kristen03,51,Female,Personal,Relationship advice,0.63,AI
lross,65,Other,Lifestyle,Personal development,0.58,AI
duanemorris,29,Female,Technology,Gadget recommendations,0.87,AI
judylynch,60,Other,Health,Chronic illness management,0.75,AI
whitneymoreno,29,Female,Financial,Budgeting and saving,0.05,Human
rebeccamatthews,39,Other,Personal,Life goal planning,0.63,AI
buckjacqueline,28,Other,Business,Productivity tools,0.97,Human
kathydavis,27,Female,Lifestyle,Home organization hacks,0.95,Human
williamsgarrett,60,Male,Business,Leadership and management,0.47,AI
michelle12,51,Female,Technology,Emerging tech trends,0.98,AI
anthonybonnie,46,Male,Health,Chronic illness management,0.43,Human
oconnorkevin,19,Male,Business,Marketing strategies,0.3,AI
stewartdavid,56,Other,Business,Marketing strategies,0.67,AI
mark85,60,Female,Business,Starting a small business,0.14,AI
andrew37,48,Female,Business,Leadership and management,0.32,AI
vwright,41,Female,Technology,Software development tips,0.54,Human
derrick48,50,Female,Personal,Career coaching,0.88,Human
williamsnicole,43,Other,Technology,Cybersecurity best practices,0.4,Human
phillip63,18,Other,Health,Mental wellness,0.78,AI
kimberlyporter,55,Female,Financial,Retirement planning,0.5,Human
jeffreygarcia,55,Other,Personal,Career coaching,0.02,AI
evelyncohen,36,Male,Business,Starting a small business,0.52,AI
tara38,62,Male,Lifestyle,Home organization hacks,0.17,AI
jcarter,43,Male,Personal,Career coaching,0.77,Human
kyle67,36,Male,Financial,Investment strategies,0.73,AI
oconnellelizabeth,40,Male,Financial,Investment strategies,0.01,Human
lindarivera,70,Other,Financial,Retirement planning,0.91,AI
swang,38,Other,Business,Leadership and management,0.72,Human
pinedasean,69,Female,Financial,Tax optimization,0.97,AI
williamsmolly,51,Other,Technology,Gadget recommendations,0.89,AI
hobbsadam,59,Other,Health,Chronic illness management,0.09,Human
jerrythomas,26,Other,Personal,Career coaching,0.13,AI
czavala,18,Female,Technology,Emerging tech trends,0.85,AI
pnewton,50,Female,Lifestyle,Sustainable living tips,0.71,Human
jesse05,18,Male,Lifestyle,Travel planning,0.93,Human
steinwalter,70,Other,Business,Productivity tools,0.73,Human
melissa37,22,Female,Health,Mental wellness,0.65,Human
tbanks,19,Female,Technology,Software development tips,0.58,Human
rbrown,41,Female,Health,Mental wellness,0.9,AI
zdavis,18,Male,Technology,Gadget recommendations,0.09,Human
blevinsbrittany,67,Other,Technology,Emerging tech trends,0.31,Human
urush,30,Male,Technology,Software development tips,0.04,Human
weissmelody,68,Female,Lifestyle,Sustainable living tips,0.82,Human
wagnerrobert,49,Female,Financial,Tax optimization,0.31,Human
smartin,59,Female,Lifestyle,Travel planning,0.88,Human
travis72,70,Female,Health,Mental wellness,0.76,AI
xramirez,47,Male,Business,Starting a small business,0.54,AI
yesenia94,34,Male,Financial,Tax optimization,0.33,Human
carpentercaitlin,63,Male,Health,Dietary advice,0.63,Human
tmorgan,64,Female,Health,Exercise routines,0.91,AI
lewisvanessa,45,Other,Technology,Cybersecurity best practices,0.99,AI
isutton,24,Male,Technology,Software development tips,0.64,Human
johnsmargaret,62,Male,Health,Mental wellness,0.15,Human
kathryn58,23,Male,Health,Dietary advice,1.0,AI
smithtimothy,20,Other,Technology,Emerging tech trends,0.12,Human
epham,46,Other,Financial,Tax optimization,0.84,AI
katelyn53,42,Other,Financial,Budgeting and saving,0.95,AI
mark81,19,Male,Technology,Emerging tech trends,0.96,AI
jamiegray,30,Female,Lifestyle,Sustainable living tips,0.74,Human
riverajulie,38,Female,Lifestyle,Travel planning,0.88,Human
kevingordon,69,Male,Lifestyle,Travel planning,0.44,AI
justin36,65,Male,Financial,Investment strategies,0.12,Human
jlee,56,Female,Health,Dietary advice,0.93,AI
fgray,38,Female,Lifestyle,Personal development,0.78,Human
beckerthomas,19,Female,Health,Chronic illness management,0.95,AI
annagarner,29,Other,Lifestyle,Home organization hacks,0.52,AI
myerskelly,47,Other,Health,Chronic illness management,0.85,AI
pattonmitchell,25,Female,Health,Mental wellness,0.95,AI
liuamy,58,Other,Lifestyle,Home organization hacks,0.92,Human
morenomorgan,46,Other,Financial,Investment strategies,0.86,AI
cooleylaurie,18,Female,Business,Marketing strategies,0.13,AI
colleenscott,67,Female,Health,Exercise routines,0.71,AI
dvargas,66,Female,Lifestyle,Travel planning,0.93,Human
ogross,28,Male,Financial,Retirement planning,0.81,AI
gadkins,26,Other,Health,Mental wellness,0.11,Human
conwayryan,57,Male,Financial,Retirement planning,0.99,AI
tdavis,62,Female,Personal,Relationship advice,0.92,Human
avaldez,68,Other,Lifestyle,Sustainable living tips,0.92,Human
carolynjohns,54,Female,Health,Exercise routines,0.36,Human
landryrichard,48,Male,Technology,Emerging tech trends,0.51,Human
patrickcathy,29,Male,Technology,Software development tips,0.58,Human
aguirresarah,61,Male,Technology,Emerging tech trends,1.0,AI
jose67,69,Female,Business,Productivity tools,0.68,AI
codyrivera,65,Other,Financial,Investment strategies,0.06,Human
alan46,47,Female,Technology,Cybersecurity best practices,0.83,AI
jessewalsh,55,Male,Lifestyle,Sustainable living tips,0.86,Human
kaisertravis,56,Male,Business,Productivity tools,0.64,AI
erikoliver,47,Other,Financial,Investment strategies,0.9,AI
vbecker,65,Other,Lifestyle,Personal development,0.4,AI
fletchercarrie,63,Other,Health,Exercise routines,0.72,AI
tylershelton,64,Male,Lifestyle,Travel planning,0.46,AI
whitneyjohnson,25,Other,Technology,Cybersecurity best practices,0.01,Human
tscott,33,Female,Technology,Gadget recommendations,0.81,AI
jillian64,46,Other,Personal,Life goal planning,0.59,AI
bgarcia,24,Female,Health,Dietary advice,0.41,Human
roberthiggins,27,Female,Personal,Relationship advice,0.7,Human
djenkins,20,Female,Personal,Relationship advice,0.05,AI
sheaamy,56,Other,Personal,Relationship advice,0.84,Human
kenneth15,20,Female,Technology,Gadget recommendations,0.44,Human
matthewlarson,65,Female,Health,Chronic illness management,0.01,Human
moyerlisa,45,Female,Business,Productivity tools,0.88,Human
sara83,18,Female,Lifestyle,Personal development,0.75,Human
tina36,23,Other,Financial,Investment strategies,0.55,Human
holtkaren,70,Male,Technology,Software development tips,0.8,AI
douglas21,65,Male,Health,Exercise routines,0.98,AI
lopezvirginia,63,Other,Personal,Life goal planning,0.82,Human
sandy14,44,Female,Health,Dietary advice,0.93,AI
daniel71,47,Male,Lifestyle,Travel planning,0.61,AI
vanessa79,24,Female,Personal,Life goal planning,0.48,AI
gregory50,18,Female,Technology,Emerging tech trends,0.64,Human
leslie30,58,Other,Personal,Stress management techniques,0.74,Human
scottdalton,34,Other,Health,Dietary advice,0.98,AI
jackmartinez,62,Female,Financial,Investment strategies,0.27,Human
jessicawalker,24,Male,Business,Marketing strategies,0.82,Human
mayala,64,Male,Business,Marketing strategies,0.35,AI
claudiabowman,28,Male,Lifestyle,Sustainable living tips,0.85,Human
james97,27,Female,Business,Leadership and management,0.29,AI
davisbrandon,26,Other,Personal,Stress management techniques,0.01,AI
joshua05,65,Other,Lifestyle,Sustainable living tips,0.18,AI
lbanks,54,Other,Personal,Relationship advice,0.76,Human
brian16,37,Female,Health,Chronic illness management,0.95,AI
chamberssarah,40,Other,Financial,Retirement planning,0.86,AI
vbarton,25,Female,Health,Mental wellness,0.83,AI
alicia96,64,Female,Lifestyle,Travel planning,0.86,Human
gibsonjames,61,Male,Financial,Tax optimization,0.91,AI
jamie44,38,Male,Business,Leadership and management,0.79,Human
larsonamber,60,Male,Technology,Software development tips,0.39,Human
tammypotter,29,Other,Business,Starting a small business,0.53,AI
gregoryalice,68,Male,Business,Leadership and management,0.85,Human
torresshawn,24,Other,Lifestyle,Home organization hacks,0.95,Human
stonedeborah,20,Other,Health,Chronic illness management,0.5,Human
rwhite,51,Other,Personal,Relationship advice,0.14,AI
kevin08,48,Female,Lifestyle,Travel planning,0.04,AI
xmurphy,21,Male,Business,Productivity tools,0.63,AI
contrerasroy,25,Other,Lifestyle,Sustainable living tips,0.54,AI
tgallegos,20,Female,Health,Exercise routines,0.43,Human
xlynn,33,Male,Lifestyle,Travel planning,0.66,AI
sjohnson,32,Other,Personal,Career coaching,0.82,Human
patrickyu,62,Male,Financial,Retirement planning,0.99,AI
jefferyrichardson,57,Male,Health,Chronic illness management,0.75,AI
julie80,69,Other,Lifestyle,Travel planning,0.59,AI
wesley68,43,Female,Financial,Investment strategies,0.33,Human
michellehernandez,66,Other,Health,Mental wellness,0.33,Human
xpeters,32,Male,Health,Chronic illness management,0.72,AI
bnelson,18,Female,Health,Mental wellness,0.49,Human
hansenloretta,38,Male,Lifestyle,Personal development,0.96,Human
ramirezchristina,36,Other,Health,Dietary advice,0.73,AI
ddennis,58,Other,Health,Mental wellness,0.85,AI
uolson,68,Female,Personal,Stress management techniques,0.28,AI
sandra02,65,Other,Personal,Life goal planning,0.03,AI
hunterjose,51,Other,Personal,Life goal planning,0.13,AI
ijennings,18,Male,Financial,Budgeting and saving,0.95,AI
cody38,26,Other,Lifestyle,Travel planning,0.81,Human
brandimarshall,67,Male,Technology,Software development tips,0.81,AI
raymondchambers,70,Female,Health,Mental wellness,0.36,Human
benjaminoliver,62,Female,Personal,Relationship advice,0.47,AI
phillipskaren,48,Male,Technology,Software development tips,0.72,AI
megan64,58,Male,Business,Leadership and management,0.89,Human
burkeamanda,43,Other,Business,Leadership and management,0.75,Human
phyllisgonzalez,24,Female,Lifestyle,Travel planning,0.86,Human
palmermichael,52,Female,Personal,Life goal planning,0.65,AI
leslie87,28,Male,Lifestyle,Home organization hacks,0.95,Human
brittanytravis,25,Other,Technology,Software development tips,0.39,Human
xcrawford,69,Other,Personal,Life goal planning,0.23,AI
keith29,67,Male,Lifestyle,Sustainable living tips,0.77,Human
rschmidt,65,Other,Technology,Software development tips,0.4,Human
nicole03,70,Female,Technology,Cybersecurity best practices,0.77,AI
joseph20,26,Other,Technology,Cybersecurity best practices,0.36,Human
latasha63,27,Male,Lifestyle,Home organization hacks,0.87,Human
scott19,47,Other,Technology,Gadget recommendations,0.72,AI
vwhite,23,Female,Technology,Cybersecurity best practices,0.92,AI
christina87,46,Male,Personal,Life goal planning,0.75,Human
maryboyle,37,Male,Technology,Software development tips,0.88,AI
ustewart,49,Other,Health,Mental wellness,0.26,Human
seth87,57,Other,Technology,Emerging tech trends,0.39,Human
ericcarter,62,Other,Business,Starting a small business,0.05,AI
mcintoshrobert,38,Male,Personal,Career coaching,0.9,Human
brooksmichael,19,Other,Financial,Investment strategies,0.23,Human
brownwilliam,46,Other,Business,Leadership and management,0.99,Human
xsanchez,35,Other,Financial,Tax optimization,0.58,Human
randybarrett,36,Other,Personal,Stress management techniques,0.75,Human
broach,61,Other,Health,Exercise routines,0.77,AI
msmith,31,Male,Health,Dietary advice,0.74,AI
hodgesmary,22,Male,Lifestyle,Home organization hacks,0.46,AI
susan46,64,Other,Technology,Cybersecurity best practices,0.02,Human
hufftracy,54,Male,Financial,Budgeting and saving,0.75,AI
bryantheather,53,Other,Technology,Gadget recommendations,0.82,AI
cynthiawilliams,21,Other,Technology,Emerging tech trends,0.04,Human
michelle19,58,Other,Lifestyle,Travel planning,0.17,AI
regina55,60,Male,Technology,Cybersecurity best practices,0.09,Human
jacqueline25,38,Other,Personal,Relationship advice,0.73,Human
millerkylie,51,Female,Personal,Stress management techniques,0.99,Human
lindsayhanson,19,Other,Health,Mental wellness,0.78,AI
vrose,62,Other,Financial,Budgeting and saving,0.45,Human
ichapman,63,Female,Personal,Relationship advice,0.28,AI
sferguson,67,Female,Business,Starting a small business,0.21,AI
mccanndavid,44,Other,Health,Mental wellness,0.67,Human
davidjackson,20,Female,Lifestyle,Personal development,0.2,AI
chloe09,39,Male,Personal,Career coaching,0.77,Human
zdickerson,68,Other,Lifestyle,Personal development,0.4,AI
larry20,49,Other,Business,Marketing strategies,0.87,Human
andrew21,53,Other,Health,Exercise routines,0.08,Human
elizabethpowell,35,Female,Health,Mental wellness,0.66,Human
scott46,41,Female,Lifestyle,Travel planning,0.34,AI
aboyd,21,Other,Health,Dietary advice,0.95,AI
wardmatthew,30,Other,Health,Mental wellness,0.76,AI
vrodriguez,59,Female,Technology,Software development tips,0.63,Human
msantiago,67,Male,Financial,Retirement planning,0.39,Human
jacksonpamela,42,Male,Technology,Gadget recommendations,0.19,Human
marysmith,54,Male,Business,Leadership and management,0.02,AI
cjohnson,32,Female,Technology,Cybersecurity best practices,0.78,AI
jessica93,54,Male,Health,Mental wellness,0.09,Human
erikalopez,67,Female,Health,Exercise routines,0.71,AI
dmartin,42,Other,Technology,Emerging tech trends,0.92,AI
pooletodd,56,Male,Financial,Investment strategies,0.71,AI
robinsonanita,45,Female,Business,Leadership and management,0.6,AI
liumeghan,32,Female,Business,Starting a small business,0.05,AI
merrittbradley,57,Female,Financial,Tax optimization,0.58,Human
mwells,61,Male,Lifestyle,Personal development,0.47,AI
robert91,40,Male,Health,Mental wellness,0.4,Human
jessicacox,57,Other,Lifestyle,Home organization hacks,0.01,AI
murphycarol,29,Female,Health,Exercise routines,0.22,Human
ian23,63,Other,Health,Dietary advice,0.73,AI
prattcarol,21,Male,Personal,Stress management techniques,0.82,Human
ibenson,67,Male,Technology,Gadget recommendations,0.82,AI
xbaker,55,Male,Financial,Tax optimization,0.12,Human
lauren78,41,Female,Technology,Software development tips,0.48,Human
alejandro24,65,Male,Personal,Career coaching,0.77,Human
michelecarrillo,26,Male,Lifestyle,Personal development,0.83,Human
churchpatrick,32,Female,Health,Exercise routines,0.93,AI
jeffreybrady,18,Female,Health,Dietary advice,0.94,AI
jessica24,23,Female,Technology,Gadget recommendations,0.04,Human
gordonrobert,53,Male,Financial,Budgeting and saving,0.88,AI
denise91,37,Other,Health,Chronic illness management,0.41,Human
grant06,67,Female,Lifestyle,Personal development,0.89,Human
mcdanielashley,60,Female,Health,Dietary advice,0.71,AI
kathryn42,70,Other,Personal,Life goal planning,0.94,Human
bmoore,64,Female,Technology,Software development tips,0.76,AI
jroth,55,Female,Technology,Emerging tech trends,0.06,Human
basssamantha,59,Male,Lifestyle,Home organization hacks,0.87,Human
christinaheath,55,Female,Technology,Software development tips,0.72,AI
rguerrero,50,Other,Technology,Emerging tech trends,0.78,AI
jonesjulia,25,Female,Business,Leadership and management,0.34,AI
ethancalhoun,20,Female,Financial,Tax optimization,0.78,AI
kimberly94,60,Male,Financial,Investment strategies,0.68,Human
jerry80,31,Male,Lifestyle,Personal development,0.74,Human
rogersangela,20,Female,Financial,Retirement planning,0.78,AI
johnsongeorge,44,Male,Technology,Software development tips,0.22,Human
blakedebra,24,Male,Health,Mental wellness,0.17,Human
gregorybutler,35,Other,Health,Dietary advice,0.14,Human
morenoronald,51,Male,Financial,Retirement planning,0.81,AI
mitchellmark,38,Female,Technology,Cybersecurity best practices,0.64,Human
brad48,67,Male,Health,Dietary advice,0.68,Human
medinakevin,60,Male,Business,Marketing strategies,0.02,AI
nmartinez,48,Other,Business,Leadership and management,0.96,Human
padilladevon,52,Male,Lifestyle,Travel planning,0.36,AI
dmarsh,22,Male,Personal,Career coaching,0.94,Human
dmaldonado,44,Male,Technology,Software development tips,0.79,AI
bblackwell,50,Female,Personal,Stress management techniques,0.1,AI
jasonkey,60,Other,Business,Leadership and management,0.11,AI
zmiller,20,Male,Personal,Career coaching,0.84,Human
haysjared,33,Male,Business,Marketing strategies,0.74,Human
mollycollins,66,Female,Personal,Career coaching,0.2,AI
orice,37,Female,Financial,Retirement planning,0.41,Human
travis09,48,Female,Financial,Tax optimization,0.97,AI
paul23,55,Female,Personal,Life goal planning,0.9,Human
bonnie63,44,Other,Personal,Stress management techniques,0.94,Human
kimberlybrown,64,Other,Health,Dietary advice,0.76,AI
wbray,32,Female,Personal,Career coaching,0.5,AI
daniel79,35,Other,Business,Marketing strategies,0.71,Human
ericsmith,55,Other,Technology,Emerging tech trends,0.47,Human
mariabarnett,30,Male,Personal,Life goal planning,0.24,AI
simmonsalejandro,18,Other,Lifestyle,Personal development,0.15,AI
david76,47,Female,Lifestyle,Sustainable living tips,0.79,Human
mcosta,64,Male,Personal,Career coaching,0.97,Human
ballardfrancisco,40,Male,Personal,Stress management techniques,0.9,Human
dustin23,56,Other,Lifestyle,Home organization hacks,0.5,AI
harmonbrent,29,Male,Financial,Budgeting and saving,0.71,AI
matthewkrause,57,Female,Lifestyle,Personal development,0.12,AI
megan40,60,Other,Health,Mental wellness,0.99,AI
samanthahenson,28,Male,Business,Marketing strategies,0.88,Human
stanleymanning,65,Male,Lifestyle,Travel planning,0.57,AI
gregory44,53,Female,Personal,Life goal planning,0.73,Human
griffithelizabeth,34,Other,Personal,Career coaching,0.23,AI
kenneth21,33,Male,Personal,Career coaching,0.22,AI
stephendavis,22,Female,Business,Marketing strategies,0.0,AI
tammy28,41,Female,Technology,Gadget recommendations,0.79,AI
alexolson,42,Female,Business,Productivity tools,0.8,Human
william28,24,Female,Business,Productivity tools,0.06,AI
david83,52,Female,Business,Starting a small business,0.34,AI
millerbenjamin,56,Male,Business,Marketing strategies,0.11,AI
charles99,25,Female,Personal,Relationship advice,0.49,AI
lewisjennifer,20,Male,Personal,Relationship advice,0.04,AI
kevinramirez,56,Male,Financial,Budgeting and saving,0.42,Human
janetbutler,55,Female,Personal,Relationship advice,0.7,Human
kbradley,37,Other,Lifestyle,Home organization hacks,0.65,AI
chad60,22,Other,Health,Exercise routines,0.04,Human
yromero,62,Male,Health,Chronic illness management,0.58,Human
youngmary,24,Female,Technology,Emerging tech trends,0.03,Human
monica68,50,Male,Financial,Tax optimization,0.14,Human
amyriley,20,Male,Personal,Career coaching,0.57,AI
randy69,18,Female,Personal,Life goal planning,0.87,Human
loribarajas,28,Female,Health,Exercise routines,0.86,AI
michaelburns,22,Male,Business,Leadership and management,0.85,Human
balldaryl,21,Male,Health,Mental wellness,0.86,AI
omeyer,70,Male,Financial,Retirement planning,0.75,AI
samantha93,19,Other,Personal,Life goal planning,0.26,AI
vmorris,46,Female,Health,Chronic illness management,0.46,Human
linda24,40,Female,Business,Starting a small business,0.82,Human
gbeck,35,Other,Financial,Budgeting and saving,0.78,AI
william76,47,Other,Financial,Tax optimization,0.35,Human
grahammeagan,60,Male,Financial,Investment strategies,0.99,AI
cwalker,57,Other,Health,Mental wellness,0.43,Human
sara46,23,Female,Technology,Emerging tech trends,0.79,AI
gabriellawilliams,18,Male,Technology,Emerging tech trends,0.9,AI
huffjennifer,58,Other,Financial,Budgeting and saving,0.66,Human
smithkristen,41,Male,Lifestyle,Home organization hacks,0.64,AI
ydavis,49,Other,Business,Productivity tools,0.54,AI
hallrhonda,28,Male,Technology,Emerging tech trends,0.09,Human
garzaraymond,68,Female,Technology,Cybersecurity best practices,0.42,Human
stewartjohn,68,Female,Lifestyle,Home organization hacks,0.09,AI
alan21,40,Female,Personal,Life goal planning,0.47,AI
muellerlindsay,32,Male,Personal,Relationship advice,0.09,AI
reginald77,61,Male,Personal,Stress management techniques,0.74,Human
ysmith,49,Other,Financial,Budgeting and saving,0.88,AI
timothymurphy,21,Other,Lifestyle,Sustainable living tips,0.87,Human
michelleclark,19,Female,Health,Exercise routines,0.63,Human
jonesraymond,51,Other,Lifestyle,Home organization hacks,0.76,Human
rothsergio,66,Female,Business,Starting a small business,0.75,Human
keithbush,18,Female,Technology,Gadget recommendations,0.3,Human
jackwilliams,28,Other,Financial,Investment strategies,0.7,AI
pricelisa,29,Female,Lifestyle,Sustainable living tips,0.04,AI
dawnnicholson,26,Other,Lifestyle,Personal development,0.72,Human
